r,g,b,x,y
117,136,153,0,0
113,132,150,1,0
122,140,158,2,0
119,137,157,3,0
122,137,159,4,0
127,142,162,5,0
136,152,169,6,0
140,157,170,7,0
143,159,171,8,0
151,166,178,9,0
150,163,176,10,0
186,185,185,11,0
199,193,186,12,0
204,199,189,13,0
203,198,186,14,0
207,198,189,15,0
207,195,182,16,0
199,190,183,17,0
181,180,186,18,0
157,164,177,19,0
144,155,168,20,0
137,151,165,21,0
135,150,165,22,0
144,156,170,23,0
163,174,187,24,0
166,175,186,25,0
160,169,183,26,0
166,175,187,27,0
170,175,186,28,0
177,180,190,29,0
192,190,192,30,0
198,195,195,31,0
204,200,198,32,0
209,202,199,33,0
210,200,196,34,0
214,203,200,35,0
212,202,199,36,0
215,205,204,37,0
213,203,202,38,0
213,203,201,39,0
213,204,201,40,0
215,206,201,41,0
217,208,206,42,0
200,196,201,43,0
184,186,201,44,0
190,191,202,45,0
177,182,197,46,0
149,160,181,47,0
139,155,181,48,0
129,152,178,49,0
130,154,181,50,0
126,151,178,51,0
120,146,175,52,0
120,146,175,53,0
127,153,180,54,0
129,155,181,55,0
132,155,182,56,0
129,152,180,57,0
129,154,182,58,0
131,159,187,59,0
132,154,185,60,0
126,150,179,61,0
125,151,178,62,0
128,153,179,63,0
128,152,179,64,0
126,153,181,65,0
128,154,178,66,0
133,155,175,67,0
155,168,183,68,0
177,182,194,69,0
176,186,197,70,0
188,193,200,71,0
202,203,207,72,0
205,204,206,73,0
205,201,201,74,0
199,200,199,75,0
186,193,202,76,0
173,183,196,77,0
183,193,205,78,0
173,185,200,79,0
168,180,196,80,0
164,175,193,81,0
174,183,201,82,0
175,184,201,83,0
170,180,194,84,0
181,184,201,85,0
188,190,202,86,0
192,192,199,87,0
191,191,198,88,0
176,182,194,89,0
155,171,190,90,0
149,170,194,91,0
144,166,191,92,0
151,170,193,93,0
155,172,193,94,0
154,167,188,95,0
168,178,192,96,0
189,193,196,97,0
205,203,200,98,0
202,200,197,99,0
207,205,203,100,0
204,204,201,101,0
205,205,202,102,0
203,203,200,103,0
204,204,201,104,0
204,200,197,105,0
203,199,195,106,0
202,198,195,107,0
205,202,198,108,0
199,198,194,109,0
200,199,196,110,0
201,199,198,111,0
198,197,197,112,0
196,196,197,113,0
195,195,196,114,0
194,194,195,115,0
198,198,198,116,0
199,199,198,117,0
200,200,199,118,0
199,199,197,119,0
201,201,198,120,0
199,200,196,121,0
201,202,198,122,0
200,201,198,123,0
199,201,199,124,0
198,200,198,125,0
197,199,197,126,0
195,197,194,127,0
197,199,195,128,0
196,198,194,129,0
196,198,194,130,0
195,197,193,131,0
196,198,193,132,0
194,197,190,133,0
194,197,190,134,0
194,196,190,135,0
191,193,188,136,0
189,191,185,137,0
188,190,185,138,0
189,190,185,139,0
186,185,181,140,0
188,184,181,141,0
190,186,182,142,0
186,183,178,143,0
182,179,174,144,0
184,181,176,145,0
183,180,175,146,0
181,178,173,147,0
180,176,173,148,0
188,184,183,149,0
119,136,150,0,1
122,138,152,1,1
130,147,160,2,1
132,149,161,3,1
134,151,165,4,1
130,147,160,5,1
131,149,161,6,1
146,161,169,7,1
156,166,171,8,1
161,169,175,9,1
161,167,174,10,1
182,183,182,11,1
186,186,181,12,1
186,186,181,13,1
186,186,181,14,1
191,191,190,15,1
186,187,184,16,1
177,182,185,17,1
159,167,179,18,1
151,162,174,19,1
149,162,176,20,1
154,170,185,21,1
148,165,180,22,1
146,160,177,23,1
153,167,181,24,1
159,171,184,25,1
159,170,183,26,1
160,171,183,27,1
162,173,184,28,1
167,178,190,29,1
165,176,185,30,1
180,186,192,31,1
194,195,196,32,1
196,195,194,33,1
195,193,194,34,1
211,207,205,35,1
214,206,201,36,1
218,209,205,37,1
219,212,209,38,1
218,210,207,39,1
218,212,205,40,1
220,213,207,41,1
223,217,214,42,1
194,194,200,43,1
160,171,186,44,1
160,176,193,45,1
155,172,190,46,1
160,176,196,47,1
160,177,198,48,1
142,161,182,49,1
133,154,177,50,1
129,153,178,51,1
130,155,181,52,1
133,156,182,53,1
135,159,182,54,1
134,158,180,55,1
136,158,181,56,1
135,155,181,57,1
134,154,184,58,1
137,157,189,59,1
136,159,186,60,1
130,154,181,61,1
129,155,181,62,1
127,153,180,63,1
128,153,180,64,1
127,152,177,65,1
139,158,177,66,1
173,187,195,67,1
190,195,198,68,1
202,200,200,69,1
201,202,199,70,1
205,206,207,71,1
200,200,201,72,1
201,200,201,73,1
201,200,201,74,1
202,201,207,75,1
191,195,204,76,1
181,187,199,77,1
179,185,200,78,1
165,178,196,79,1
159,173,188,80,1
163,178,190,81,1
174,184,193,82,1
182,188,197,83,1
182,191,203,84,1
180,189,205,85,1
178,188,199,86,1
189,195,206,87,1
185,192,204,88,1
162,176,188,89,1
158,175,192,90,1
152,174,196,91,1
151,174,196,92,1
152,173,194,93,1
154,177,199,94,1
163,180,200,95,1
172,183,193,96,1
196,203,202,97,1
204,208,202,98,1
203,206,201,99,1
202,205,200,100,1
205,206,201,101,1
206,207,202,102,1
205,206,201,103,1
206,207,202,104,1
211,208,203,105,1
204,201,196,106,1
202,199,193,107,1
202,200,194,108,1
205,204,199,109,1
205,204,199,110,1
202,201,198,111,1
197,196,194,112,1
195,194,193,113,1
194,194,192,114,1
196,196,194,115,1
196,196,193,116,1
195,195,191,117,1
198,198,194,118,1
199,199,195,119,1
203,203,198,120,1
200,200,196,121,1
199,199,194,122,1
198,199,194,123,1
200,202,197,124,1
199,201,197,125,1
200,201,197,126,1
198,199,195,127,1
198,200,195,128,1
197,198,193,129,1
195,196,191,130,1
196,197,192,131,1
196,198,192,132,1
196,198,191,133,1
196,198,189,134,1
196,198,191,135,1
193,194,188,136,1
191,193,186,137,1
191,192,186,138,1
190,191,185,139,1
188,188,182,140,1
190,187,182,141,1
190,187,181,142,1
188,185,177,143,1
187,184,177,144,1
186,183,176,145,1
183,180,173,146,1
184,181,175,147,1
185,182,177,148,1
188,184,181,149,1
146,160,170,0,2
132,145,153,1,2
146,160,164,2,2
151,166,168,3,2
150,164,169,4,2
149,163,170,5,2
144,157,165,6,2
157,168,173,7,2
169,177,179,8,2
176,182,185,9,2
173,177,180,10,2
164,171,171,11,2
172,180,179,12,2
173,180,182,13,2
174,180,183,14,2
171,178,183,15,2
155,168,175,16,2
144,159,171,17,2
143,158,174,18,2
140,157,170,19,2
148,165,180,20,2
145,162,178,21,2
140,157,175,22,2
139,157,176,23,2
144,161,178,24,2
154,170,186,25,2
163,178,190,26,2
165,177,186,27,2
167,176,183,28,2
172,179,184,29,2
167,175,181,30,2
188,192,195,31,2
194,194,192,32,2
198,196,192,33,2
195,194,191,34,2
213,210,205,35,2
219,213,206,36,2
220,214,207,37,2
222,217,212,38,2
221,217,210,39,2
218,215,205,40,2
219,216,209,41,2
219,215,210,42,2
206,205,204,43,2
193,200,205,44,2
199,204,205,45,2
202,206,208,46,2
190,192,196,47,2
186,190,195,48,2
174,182,193,49,2
156,169,183,50,2
152,169,186,51,2
141,160,180,52,2
143,164,185,53,2
141,162,181,54,2
138,159,176,55,2
146,164,184,56,2
148,165,186,57,2
151,166,188,58,2
150,164,186,59,2
141,159,176,60,2
136,155,174,61,2
138,158,179,62,2
132,152,176,63,2
137,158,180,64,2
137,159,180,65,2
143,160,174,66,2
176,187,192,67,2
188,194,195,68,2
188,189,190,69,2
196,197,193,70,2
195,195,190,71,2
191,190,188,72,2
197,197,197,73,2
192,193,193,74,2
193,192,193,75,2
191,195,189,76,2
199,203,197,77,2
204,202,202,78,2
202,200,200,79,2
205,203,201,80,2
204,202,199,81,2
206,207,200,82,2
199,202,194,83,2
197,199,195,84,2
190,196,193,85,2
197,204,203,86,2
195,198,203,87,2
198,202,210,88,2
190,200,204,89,2
179,191,199,90,2
170,187,199,91,2
167,184,197,92,2
173,186,195,93,2
190,197,198,94,2
200,202,205,95,2
205,206,201,96,2
209,210,202,97,2
208,211,204,98,2
208,211,204,99,2
208,211,204,100,2
206,208,201,101,2
208,209,203,102,2
209,210,204,103,2
209,210,203,104,2
210,207,200,105,2
204,201,193,106,2
207,204,197,107,2
207,205,197,108,2
207,207,198,109,2
204,204,197,110,2
203,202,198,111,2
199,197,193,112,2
202,199,194,113,2
201,198,193,114,2
201,199,194,115,2
202,200,193,116,2
203,201,194,117,2
204,201,195,118,2
204,202,195,119,2
203,201,195,120,2
202,200,195,121,2
204,202,196,122,2
202,201,195,123,2
205,205,197,124,2
202,203,195,125,2
203,203,195,126,2
201,201,194,127,2
202,202,196,128,2
202,202,196,129,2
202,202,196,130,2
199,199,194,131,2
199,199,192,132,2
201,201,192,133,2
200,200,190,134,2
200,200,192,135,2
194,194,186,136,2
195,195,187,137,2
192,192,184,138,2
191,193,184,139,2
191,191,183,140,2
194,191,183,141,2
191,188,180,142,2
192,189,180,143,2
190,187,178,144,2
188,185,176,145,2
188,185,176,146,2
190,187,178,147,2
189,186,180,148,2
191,188,183,149,2
157,168,177,0,3
156,167,171,1,3
163,174,173,2,3
158,168,167,3,3
163,171,173,4,3
163,170,173,5,3
165,172,177,6,3
163,172,176,7,3
164,174,175,8,3
170,178,180,9,3
174,181,183,10,3
169,179,180,11,3
157,167,169,12,3
152,163,168,13,3
161,172,180,14,3
166,176,184,15,3
144,160,170,16,3
137,155,169,17,3
136,153,168,18,3
133,154,167,19,3
142,161,176,20,3
144,163,180,21,3
144,163,182,22,3
141,162,182,23,3
142,161,180,24,3
144,163,181,25,3
148,166,179,26,3
165,179,187,27,3
193,198,200,28,3
207,204,198,29,3
208,205,200,30,3
213,210,204,31,3
215,211,203,32,3
215,210,201,33,3
219,213,203,34,3
218,213,203,35,3
218,215,205,36,3
221,217,209,37,3
222,219,212,38,3
221,218,210,39,3
221,218,208,40,3
219,217,211,41,3
219,214,208,42,3
217,212,206,43,3
214,212,207,44,3
209,208,202,45,3
206,207,202,46,3
208,209,206,47,3
207,207,206,48,3
