r,g,b,x,y
201,163,126,0,0
207,174,143,1,0
214,174,146,2,0
217,185,146,3,0
218,190,162,4,0
208,189,173,5,0
205,169,140,6,0
153,84,35,7,0
130,73,31,8,0
104,56,31,9,0
107,54,28,10,0
104,56,28,11,0
102,49,22,12,0
100,51,26,13,0
102,52,26,14,0
104,52,24,15,0
99,51,23,16,0
101,54,26,17,0
92,56,34,18,0
98,57,37,19,0
105,56,27,20,0
114,62,31,21,0
138,79,36,22,0
177,127,75,23,0
209,174,139,24,0
222,180,148,25,0
229,194,166,26,0
224,192,168,27,0
232,199,169,28,0
230,191,154,29,0
232,188,152,30,0
234,200,175,31,0
240,213,199,32,0
240,209,186,33,0
233,204,180,34,0
235,205,186,35,0
229,201,172,36,0
222,196,169,37,0
219,195,161,38,0
214,194,159,39,0
210,184,151,40,0
210,187,168,41,0
196,160,128,42,0
160,100,58,43,0
127,66,28,44,0
115,59,27,45,0
116,61,28,46,0
120,71,42,47,0
121,75,51,48,0
100,55,32,49,0
103,64,41,50,0
86,56,52,51,0
84,43,25,52,0
98,61,41,53,0
110,82,72,54,0
102,72,61,55,0
98,71,56,56,0
100,73,60,57,0
91,67,62,58,0
92,66,62,59,0
102,69,59,60,0
96,62,49,61,0
93,52,36,62,0
108,65,39,63,0
109,70,42,64,0
120,81,55,65,0
128,69,27,66,0
110,53,26,67,0
102,47,22,68,0
90,44,24,69,0
87,48,27,70,0
85,50,29,71,0
84,56,36,72,0
80,46,28,73,0
88,46,24,74,0
81,38,20,75,0
82,37,20,76,0
81,33,18,77,0
75,37,22,78,0
72,35,21,79,0
80,45,28,80,0
82,46,27,81,0
82,51,34,82,0
101,58,36,83,0
96,48,26,84,0
88,37,15,85,0
82,38,14,86,0
95,55,33,87,0
112,64,43,88,0
109,59,39,89,0
106,54,39,90,0
105,50,30,91,0
87,42,30,92,0
73,39,32,93,0
72,40,32,94,0
67,41,32,95,0
66,41,37,96,0
58,34,30,97,0
64,39,34,98,0
63,36,29,99,0
70,44,34,100,0
76,50,43,101,0
82,53,50,102,0
87,60,56,103,0
92,58,46,104,0
96,63,47,105,0
101,67,51,106,0
99,61,47,107,0
91,52,42,108,0
95,62,59,109,0
99,62,59,110,0
99,66,61,111,0
100,76,72,112,0
103,72,62,113,0
114,85,78,114,0
150,125,110,115,0
141,129,116,116,0
102,86,75,117,0
194,169,141,118,0
215,189,158,119,0
219,204,188,120,0
234,224,209,121,0
228,216,199,122,0
184,166,143,123,0
143,125,100,124,0
146,133,115,125,0
182,172,159,126,0
130,121,116,127,0
102,87,82,128,0
125,111,99,129,0
146,136,128,130,0
127,123,124,131,0
129,124,120,132,0
140,132,123,133,0
137,125,118,134,0
180,169,157,135,0
156,136,129,136,0
173,158,144,137,0
202,183,161,138,0
225,212,196,139,0
227,212,200,140,0
227,211,199,141,0
204,176,150,142,0
186,159,146,143,0
156,146,134,144,0
102,84,66,145,0
119,94,70,146,0
117,94,75,147,0
108,89,80,148,0
118,101,92,149,0
204,171,132,0,1
206,175,141,1,1
214,176,146,2,1
213,181,145,3,1
215,186,164,4,1
219,196,174,5,1
193,137,93,6,1
133,71,31,7,1
107,62,34,8,1
100,62,33,9,1
102,56,28,10,1
102,54,29,11,1
97,50,23,12,1
105,59,30,13,1
99,54,27,14,1
102,51,23,15,1
95,46,18,16,1
101,53,22,17,1
102,56,29,18,1
103,63,35,19,1
111,69,36,20,1
152,93,47,21,1
150,97,52,22,1
172,128,92,23,1
198,169,154,24,1
229,202,181,25,1
228,206,200,26,1
229,214,214,27,1
236,211,201,28,1
235,209,189,29,1
236,211,196,30,1
236,215,210,31,1
241,222,219,32,1
240,216,208,33,1
237,216,206,34,1
236,222,216,35,1
227,210,191,36,1
212,187,153,37,1
193,156,106,38,1
173,129,82,39,1
163,116,75,40,1
159,111,72,41,1
158,97,52,42,1
141,83,39,43,1
121,71,40,44,1
100,57,35,45,1
103,69,45,46,1
94,74,66,47,1
107,81,69,48,1
85,58,50,49,1
89,65,47,50,1
93,64,55,51,1
87,56,40,52,1
97,76,67,53,1
107,86,76,54,1
96,72,65,55,1
94,70,63,56,1
103,69,56,57,1
88,58,47,58,1
99,69,62,59,1
104,77,71,60,1
93,65,62,61,1
91,64,55,62,1
91,65,58,63,1
92,66,52,64,1
109,74,48,65,1
108,63,30,66,1
98,49,22,67,1
97,42,20,68,1
96,53,28,69,1
89,47,26,70,1
99,58,34,71,1
99,56,30,72,1
98,48,19,73,1
101,55,28,74,1
90,43,22,75,1
80,38,19,76,1
78,38,21,77,1
74,37,21,78,1
86,43,26,79,1
82,44,28,80,1
78,40,22,81,1
78,38,19,82,1
90,43,19,83,1
88,37,15,84,1
102,62,34,85,1
90,47,24,86,1
93,50,24,87,1
101,54,27,88,1
111,64,43,89,1
103,57,38,90,1
87,50,39,91,1
82,51,44,92,1
81,48,35,93,1
78,42,26,94,1
65,35,25,95,1
65,37,33,96,1
60,31,26,97,1
68,41,35,98,1
68,39,34,99,1
65,37,27,100,1
66,39,31,101,1
77,49,40,102,1
80,48,36,103,1
95,63,50,104,1
95,63,45,105,1
101,68,47,106,1
87,51,37,107,1
77,44,33,108,1
91,50,42,109,1
100,54,45,110,1
99,63,51,111,1
110,81,69,112,1
101,71,61,113,1
111,83,74,114,1
109,81,72,115,1
107,89,79,116,1
96,75,71,117,1
133,112,92,118,1
127,110,96,119,1
146,128,110,120,1
208,188,167,121,1
220,204,192,122,1
128,115,102,123,1
147,128,109,124,1
219,201,183,125,1
198,183,170,126,1
142,131,130,127,1
123,116,111,128,1
117,113,113,129,1
135,129,124,130,1
122,120,118,131,1
129,124,117,132,1
146,139,131,133,1
125,121,121,134,1
112,99,87,135,1
132,105,89,136,1
149,123,104,137,1
203,179,159,138,1
223,209,197,139,1
199,183,170,140,1
172,147,144,141,1
166,136,117,142,1
185,152,132,143,1
189,168,148,144,1
123,103,87,145,1
104,78,64,146,1
113,95,80,147,1
112,89,73,148,1
145,123,105,149,1
211,177,135,0,2
211,179,145,1,2
211,172,143,2,2
217,189,149,3,2
219,188,162,4,2
211,164,123,5,2
159,89,42,6,2
119,67,33,7,2
105,64,35,8,2
103,65,36,9,2
110,65,36,10,2
110,60,30,11,2
105,58,31,12,2
100,53,28,13,2
94,51,29,14,2
103,52,25,15,2
105,57,28,16,2
111,57,23,17,2
102,60,28,18,2
82,55,37,19,2
104,66,39,20,2
116,76,44,21,2
124,74,41,22,2
165,133,116,23,2
196,171,156,24,2
218,193,179,25,2
229,212,209,26,2
227,214,214,27,2
230,215,213,28,2
232,217,219,29,2
232,214,209,30,2
239,221,222,31,2
240,224,229,32,2
232,214,207,33,2
239,223,219,34,2
236,222,224,35,2
212,190,172,36,2
172,128,84,37,2
153,97,51,38,2
151,98,49,39,2
149,92,43,40,2
141,85,43,41,2
136,87,53,42,2
126,82,46,43,2
116,76,46,44,2
100,66,47,45,2
96,72,58,46,2
76,52,48,47,2
84,58,48,48,2
64,38,29,49,2
75,53,45,50,2
95,72,64,51,2
94,69,58,52,2
94,73,62,53,2
105,81,68,54,2
95,74,67,55,2
98,73,61,56,2
97,64,47,57,2
118,92,79,58,2
107,84,75,59,2
91,72,67,60,2
80,54,53,61,2
82,61,56,62,2
94,74,70,63,2
101,82,76,64,2
91,61,44,65,2
86,50,25,66,2
80,43,24,67,2
93,53,29,68,2
118,74,43,69,2
111,63,32,70,2
113,67,37,71,2
90,47,25,72,2
93,47,25,73,2
93,45,21,74,2
83,32,15,75,2
102,46,24,76,2
113,68,39,77,2
125,89,71,78,2
96,68,59,79,2
80,50,37,80,2
87,47,25,81,2
93,48,23,82,2
93,49,30,83,2
105,62,32,84,2
113,81,54,85,2
87,43,18,86,2
93,48,22,87,2
111,70,43,88,2
107,56,35,89,2
90,51,34,90,2
75,45,35,91,2
75,45,36,92,2
77,43,25,93,2
74,44,35,94,2
71,42,38,95,2
68,40,34,96,2
59,32,25,97,2
62,37,29,98,2
62,37,29,99,2
70,43,33,100,2
67,42,33,101,2
81,55,45,102,2
83,56,44,103,2
94,72,60,104,2
88,65,55,105,2
89,61,50,106,2
78,51,39,107,2
80,50,40,108,2
93,57,49,109,2
101,68,60,110,2
106,83,75,111,2
115,93,91,112,2
97,70,66,113,2
90,65,58,114,2
108,85,82,115,2
116,93,84,116,2
100,77,70,117,2
107,86,76,118,2
105,88,76,119,2
129,115,107,120,2
142,134,126,121,2
201,189,175,122,2
210,200,196,123,2
172,167,165,124,2
163,152,142,125,2
154,148,140,126,2
127,123,130,127,2
117,115,116,128,2
92,79,73,129,2
91,76,69,130,2
113,108,105,131,2
115,116,122,132,2
124,122,125,133,2
125,122,124,134,2
105,96,89,135,2
149,130,122,136,2
200,182,163,137,2
219,206,187,138,2
209,192,177,139,2
168,138,134,140,2
160,124,107,141,2
166,133,110,142,2
162,130,110,143,2
153,125,104,144,2
102,84,72,145,2
106,87,73,146,2
112,92,74,147,2
120,96,79,148,2
135,114,95,149,2
214,183,152,0,3
213,186,159,1,3
216,182,159,2,3
221,197,151,3,3
224,198,175,4,3
190,145,99,5,3
140,93,45,6,3
102,57,28,7,3
104,56,25,8,3
112,65,33,9,3
110,63,29,10,3
110,63,29,11,3
113,69,33,12,3
131,91,52,13,3
106,55,22,14,3
102,52,22,15,3
127,78,35,16,3
107,61,26,17,3
