r,g,b
221,212,183
222,212,182
219,210,175
220,209,178
221,210,181
220,209,177
222,211,180
226,215,187
227,216,188
228,216,190
229,217,191
230,218,193
230,218,194
229,217,193
227,217,192
229,219,194
230,219,193
232,220,194
230,218,191
230,218,193
231,219,197
234,220,193
234,219,195
234,221,197
234,222,198
233,221,197
232,220,197
233,221,197
235,220,197
235,220,197
235,221,195
235,221,195
236,221,197
234,220,195
233,219,192
232,218,191
232,218,193
233,220,195
233,221,196
234,221,195
235,221,195
235,221,195
235,221,195
235,221,195
235,221,195
236,222,196
238,224,199
239,224,201
238,224,201
236,224,202
236,224,202
238,223,200
238,223,200
238,224,202
237,225,203
239,227,206
241,228,209
240,227,208
240,227,208
240,227,208
241,228,208
241,229,208
243,230,209
240,229,207
243,227,204
240,224,199
242,226,204
241,226,205
241,228,201
242,228,206
241,226,204
240,226,201
239,224,201
241,226,203
242,227,206
243,228,207
240,225,204
241,226,205
243,228,207
243,228,207
244,229,208
243,228,206
242,227,204
242,226,202
243,227,200
242,226,199
243,227,200
243,227,200
243,227,201
241,225,199
241,225,197
241,226,196
240,225,196
241,226,198
240,225,193
239,223,189
238,222,188
238,223,190
238,223,192
222,213,181
223,213,185
222,212,181
223,212,184
226,214,187
225,214,185
226,215,187
226,215,187
228,217,189
229,217,193
231,219,196
233,221,198
232,220,196
231,219,195
229,219,194
231,221,196
232,221,197
233,221,198
233,221,198
232,220,197
233,221,195
235,221,194
236,222,198
235,222,201
237,225,204
236,223,203
235,223,202
235,222,201
235,220,197
235,220,197
234,220,194
235,221,195
236,222,197
234,220,195
232,218,192
234,219,194
233,218,196
240,227,207
235,223,200
236,223,197
235,221,195
235,221,195
237,223,197
237,223,197
235,221,195
236,222,196
239,224,200
240,225,202
240,226,203
239,227,205
238,226,204
240,225,203
239,224,201
240,226,204
238,226,204
239,226,205
240,227,208
239,226,207
240,227,208
239,226,207
240,228,209
237,224,205
241,229,210
240,230,216
231,217,199
239,226,203
239,226,206
239,226,208
241,228,211
241,228,209
242,227,205
240,226,201
241,226,203
241,226,203
243,228,207
243,228,207
242,227,206
243,228,207
